P,x
Genetic_Algorithm,0.007539248034604261
Genetic_Algorithm,0.0050058100942035446
Genetic_Algorithm,0.005186844978667728
Genetic_Algorithm,0.006877721568781855
Genetic_Algorithm,0.007190174361865316
Genetic_Algorithm,0.006435733985793592
Genetic_Algorithm,0.007538261023292945
Genetic_Algorithm,0.017258609376510043
Genetic_Algorithm,0.01658463562778818
Genetic_Algorithm,0.01212319029929943
Genetic_Algorithm,0.0148057624328354
Genetic_Algorithm,0.015200600517526261
Genetic_Algorithm,0.022810515133274867
Genetic_Algorithm,0.04414999639977029
Genetic_Algorithm,0.0594214021826682
Betweenness_Centrality,0.0594214021826682
Betweenness_Centrality,0.050210337218353884
Betweenness_Centrality,0.04414999639977029
Betweenness_Centrality,0.040115027156136095
Betweenness_Centrality,0.031583834338923644
Betweenness_Centrality,0.02924173860427047
Betweenness_Centrality,0.02281051513327487
Betweenness_Centrality,0.02009913012476238
Betweenness_Centrality,0.0179274194662944
Betweenness_Centrality,0.01782483279684653
Betweenness_Centrality,0.017795369274311846
Betweenness_Centrality,0.017258609376510043
Betweenness_Centrality,0.016797827753927755
Betweenness_Centrality,0.016584635627788183
Betweenness_Centrality,0.015781069629436283
Betweenness_Centrality,0.015200600517526261
Betweenness_Centrality,0.015144692897612938
Betweenness_Centrality,0.0148057624328354
Betweenness_Centrality,0.01385538680729324
Betweenness_Centrality,0.013713970830508222
Betweenness_Centrality,0.013354010478642219
Betweenness_Centrality,0.012666031860039397
Betweenness_Centrality,0.01212319029929943
Betweenness_Centrality,0.01108655004975805
Betweenness_Centrality,0.010763721006092693
Betweenness_Centrality,0.010654090494202859
Betweenness_Centrality,0.010595508371710412
